Merchant,Booked Quarter,Quarter On Book,FICO Bucket,Line Item,Value
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),New Accounts,"5,279"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Total Accounts,"5,279"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),In-Month Active Accounts,"3,521"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Net Transaction Volume,"$5,297,700"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),On-Merchant Volume,"$4,450,100"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Off-Merchant Volume,"$847,600"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Outstanding Balance,"$6,526,950"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Revolve Balance,"$1,198,100"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Principal Payments,"($5,533,500)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),EoP Interest & Fees Balance,"$32,050"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Interest Revenue,"$56,610"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Interchange Revenue,"$69,510"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Fee Revenue,"$2,740"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Merchant Discount Rate,"$66,540"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Other Revenue,"$2,550"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Cost of Funds,"($87,000)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Charge Offs,-
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Recoveries / Debt Sale,-
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Payment Fees,"($7,810)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Rewards,"($104,702)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Rebates,"($10,090)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Royalties,"($36,625)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),3rd Party Fraud,"($2,710)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Servicing & Collections,"($8,250)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Acquisition Bounties,"($196,120)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Sign-On Bonus,"($148,870)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Marketing Expense,"($119,730)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),Added Features,"($7,450)"
Merchant 1,Q1 2023,Q1 2023,Exceptional (800-850),KYC/AML and Underwriting Costs,"($96,770)"
