Report Date Index,Mid (5-8Q),Seasoned (9Q+),Young (0-4Q)
0,0.0,0.0,26826870.0
1,0.0,0.0,69729950.0
2,0.0,0.0,154476640.0
3,0.0,0.0,317255280.0
4,0.0,0.0,356684250.0
5,41999580.0,0.0,478311730.0
6,96078050.0,0.0,637245460.0
7,228377680.0,0.0,960013340.0
8,324043670.0,0.0,904944090.0
9,392058780.0,43530840.0,1103126200.0
10,532013900.0,97523570.0,1291831860.0
11,730884120.0,227531740.0,1746106650.0
12,821607200.0,327711510.0,1460981030.0
13,967066990.0,440745540.0,1582245540.0
14,1102717202.287937,610244012.5783526,1639370735.4056492
15,1224299931.4306667,800232898.533493,1707511482.0131474
16,1328530815.6693504,1089192418.1147754,1714298731.8763173
17,1339947120.9532816,1320419845.3059783,1893872012.2722778
18,1370892486.8574686,1610612035.0193577,2020235136.358072
19,1423978688.3552814,1906321781.1153023,2144471840.6213562
20,1417685910.1802561,2280807159.5573335,2278990711.5276933
21,1576034661.795516,2509999567.821235,2425047926.5132275
