Vintage Index,LTV/Account,CAC/Account,New Accounts,LTV/CAC
0,43.610710846734165,90.97014612904576,23883.0,0.4793958535019847
1,55.100546611244305,90.46804051694028,28630.0,0.6090609047835699
2,42.87665219196207,91.69799092676604,50919.0,0.46758551369140916
3,44.740084369146714,91.2722310948475,64493.0,0.4901828719696147
4,59.484796800626434,89.54108104557993,60904.0,0.6643296697562355
5,76.09333410028138,88.82856765128051,105896.0,0.8566313305760532
6,87.04090012803975,87.88043871278775,124455.0,0.9904468093577481
7,91.80258037989793,87.9997843258836,185465.0,1.0432136974328448
8,64.15255478741813,88.93910545478839,149685.0,0.7213087478154326
9,69.73952755134025,88.81234926258725,187412.0,0.7852458372105967
10,71.7137345304779,88.16405858160297,199380.0,0.8134123551503817
11,72.07513503696055,87.9778354964643,252566.0,0.8192419673686692
12,44.447903759835775,87.76880913050007,186452.0,0.5064202670648965
13,72.29755421695336,88.24502124150789,223148.0,0.8192819628779997
14,65.15548732858223,87.82624937952443,236658.5471758847,0.7418680381878222
15,64.81934280911287,87.77406024888172,251247.16813656077,0.7384794850018197
16,65.53822620944301,87.717625357463,267040.27963456436,0.7471500276297325
17,63.99927650451301,87.6566337421321,284184.053131121,0.730113327107516
18,63.19654383682329,87.59077854496118,302847.92186704505,0.72149768373601
19,62.64600834205478,87.51976465415733,323228.73802361457,0.7157926965366788
20,63.06188171896769,87.44331781226012,345555.70209600916,0.7211743938440315
21,61.29544681040192,87.36119516252268,370096.20963661507,0.7016324203940977
