Report Date Index,Mid (5-8Q),Seasoned (9Q+),Young (0-4Q)
0,0.0,0.0,26826870.0
1,0.0,0.0,69729950.0
2,0.0,0.0,154476640.0
3,0.0,0.0,317255280.0
4,0.0,0.0,356684250.0
5,41999580.0,0.0,478311730.0
6,96078050.0,0.0,637245460.0
7,228377680.0,0.0,960013340.0
8,324043670.0,0.0,904944090.0
9,392058780.0,43530840.0,1103126200.0
10,532013900.0,97523570.0,1291831860.0
11,730884120.0,227531740.0,1746106650.0
12,821607200.0,327711510.0,1460981030.0
13,967066990.0,440745540.0,1582245540.0
14,1105051904.0866983,611536037.2161236,1639741280.2248306
15,1417546946.1063406,926543955.7481658,1969209445.1993635
16,1221851301.7165306,1001731505.3567686,1566654795.7466094
17,1287243740.0180204,1268484519.6401935,1804645465.677751
18,1373794976.4063156,1614022065.0864177,2004304631.2427785
19,1644240191.0325027,2207221081.8130155,2458177592.2686353
20,1296505366.8842738,2097660937.9327347,2075069087.260796
21,1502256573.5014687,2411275176.9093676,2306411191.6810164
