Merchant,Grain FICO,Line Item,rate_per_account
Merchant 1,Exceptional (800-850),Marketing Expense,-22.23626052872988
Merchant 1,Fair (580-669),Marketing Expense,-11.736164736164737
Merchant 1,Good (670-739),Marketing Expense,-15.049245637980007
Merchant 1,Poor (300-579),Marketing Expense,-8.008916278764833
Merchant 1,Very Good (740-799),Marketing Expense,-17.994317016281595
Merchant 10,ALL,Marketing Expense,-14.755601596071209
Merchant 2,Exceptional (800-850),Marketing Expense,-22.043153212832404
Merchant 2,Fair (580-669),Marketing Expense,-11.823479627614557
Merchant 2,Good (670-739),Marketing Expense,-14.942034076936588
Merchant 2,Poor (300-579),Marketing Expense,-8.020984484875544
Merchant 2,Very Good (740-799),Marketing Expense,-18.11943546446544
Merchant 3,Exceptional (800-850),Marketing Expense,-22.066048527906556
Merchant 3,Fair (580-669),Marketing Expense,-12.08317997791682
Merchant 3,Good (670-739),Marketing Expense,-15.000510256148587
Merchant 3,Poor (300-579),Marketing Expense,-7.89272579643693
Merchant 3,Very Good (740-799),Marketing Expense,-18.023218766179458
Merchant 4,Exceptional (800-850),Marketing Expense,-22.20353713118672
Merchant 4,Fair (580-669),Marketing Expense,-12.102375216014734
Merchant 4,Good (670-739),Marketing Expense,-15.361622389458095
Merchant 4,Poor (300-579),Marketing Expense,-8.012365607772669
Merchant 4,Very Good (740-799),Marketing Expense,-18.063258530671845
Merchant 5,Exceptional (800-850),Marketing Expense,-21.911837543338287
Merchant 5,Fair (580-669),Marketing Expense,-12.04460171946991
Merchant 5,Good (670-739),Marketing Expense,-14.927634896621282
Merchant 5,Poor (300-579),Marketing Expense,-8.02773419707475
Merchant 5,Very Good (740-799),Marketing Expense,-18.029157032566523
Merchant 6,Exceptional (800-850),Marketing Expense,-22.079903378571654
Merchant 6,Fair (580-669),Marketing Expense,-11.965250556202987
Merchant 6,Good (670-739),Marketing Expense,-14.686625766871165
Merchant 6,Poor (300-579),Marketing Expense,-7.824001258257313
Merchant 6,Very Good (740-799),Marketing Expense,-18.312902932897483
Merchant 7,Exceptional (800-850),Marketing Expense,-22.090133982947624
Merchant 7,Fair (580-669),Marketing Expense,-12.011271392378884
