Line Item,pooled_tail_rate
3rd Party Fraud,-0.0007044529225984636
Charge Offs,-0.010326634003935612
Cost of Funds,-0.02770836886010314
Fee Revenue,0.001675929707518156
Interchange Revenue,0.01519821955210797
Interest Revenue,0.062250068658088124
Merchant Discount Rate,0.010646696905157405
Other Credits,0.0
Other Revenue,0.8064729365073204
Payment Fees,-0.0014985024801239205
Program Support,-1.2016470679014257
Rebates,-0.001992948053626046
Recoveries / Debt Sale,-0.1725914045370536
Rewards,-0.01623883931503118
Royalties,-0.006292776087028659
Servicing & Collections,-3.3362637553105943
