Line Item,Merchant,Grain FICO,seed_ratio
EoP Interest & Fees Balance,Merchant 1,Exceptional (800-850),6.504148945042115
EoP Interest & Fees Balance,Merchant 1,Fair (580-669),24.782496782496782
EoP Interest & Fees Balance,Merchant 1,Good (670-739),16.392157586041535
EoP Interest & Fees Balance,Merchant 1,Poor (300-579),26.89995410738871
EoP Interest & Fees Balance,Merchant 1,Very Good (740-799),10.568070444685878
EoP Interest & Fees Balance,Merchant 10,ALL,18.232811540822592
EoP Interest & Fees Balance,Merchant 2,Exceptional (800-850),5.503386553826603
EoP Interest & Fees Balance,Merchant 2,Fair (580-669),23.399830733889495
EoP Interest & Fees Balance,Merchant 2,Good (670-739),15.09748814333392
EoP Interest & Fees Balance,Merchant 2,Poor (300-579),25.700971090523495
EoP Interest & Fees Balance,Merchant 2,Very Good (740-799),9.469780191038156
EoP Interest & Fees Balance,Merchant 3,Exceptional (800-850),7.153651634655909
EoP Interest & Fees Balance,Merchant 3,Fair (580-669),26.87523003312477
EoP Interest & Fees Balance,Merchant 3,Good (670-739),17.642956764295675
EoP Interest & Fees Balance,Merchant 3,Poor (300-579),28.405693270287053
EoP Interest & Fees Balance,Merchant 3,Very Good (740-799),11.370823210800909
EoP Interest & Fees Balance,Merchant 4,Exceptional (800-850),8.02850562725416
EoP Interest & Fees Balance,Merchant 4,Fair (580-669),27.889047264654312
EoP Interest & Fees Balance,Merchant 4,Good (670-739),18.62796062904867
EoP Interest & Fees Balance,Merchant 4,Poor (300-579),29.655834069381417
EoP Interest & Fees Balance,Merchant 4,Very Good (740-799),12.057693102450717
EoP Interest & Fees Balance,Merchant 5,Exceptional (800-850),7.825656265477959
EoP Interest & Fees Balance,Merchant 5,Fair (580-669),30.04417422695103
EoP Interest & Fees Balance,Merchant 5,Good (670-739),20.283913262733233
EoP Interest & Fees Balance,Merchant 5,Poor (300-579),31.130117920947416
EoP Interest & Fees Balance,Merchant 5,Very Good (740-799),13.017596112395658
EoP Interest & Fees Balance,Merchant 6,Exceptional (800-850),8.675905031306614
EoP Interest & Fees Balance,Merchant 6,Fair (580-669),28.060529010841545
EoP Interest & Fees Balance,Merchant 6,Good (670-739),19.270184049079756
EoP Interest & Fees Balance,Merchant 6,Poor (300-579),29.116074237181504
EoP Interest & Fees Balance,Merchant 6,Very Good (740-799),12.896803777354036
EoP Interest & Fees Balance,Merchant 7,Exceptional (800-850),5.115269626840881
EoP Interest & Fees Balance,Merchant 7,Fair (580-669),21.84995605191045
EoP Interest & Fees Balance,Merchant 7,Good (670-739),14.0538187129575
EoP Interest & Fees Balance,Merchant 7,Poor (300-579),24.112614714574583
EoP Interest & Fees Balance,Merchant 7,Very Good (740-799),8.613094473302619
EoP Interest & Fees Balance,Merchant 8,Exceptional (800-850),7.212280413725169
EoP Interest & Fees Balance,Merchant 8,Fair (580-669),25.868483503023807
EoP Interest & Fees Balance,Merchant 8,Good (670-739),17.56478733926805
EoP Interest & Fees Balance,Merchant 8,Poor (300-579),27.891556426588274
EoP Interest & Fees Balance,Merchant 8,Very Good (740-799),11.490003014166582
EoP Interest & Fees Balance,Merchant 9,ALL,24.014458670847485
In-Month Active Accounts,Merchant 1,Exceptional (800-850),0.7336752564423318
In-Month Active Accounts,Merchant 1,Fair (580-669),0.5738309738309738
In-Month Active Accounts,Merchant 1,Good (670-739),0.6343557490132429
In-Month Active Accounts,Merchant 1,Poor (300-579),0.4901986494460106
In-Month Active Accounts,Merchant 1,Very Good (740-799),0.692678220040875
In-Month Active Accounts,Merchant 10,ALL,0.5906998158379374
In-Month Active Accounts,Merchant 2,Exceptional (800-850),0.7390798848166124
In-Month Active Accounts,Merchant 2,Fair (580-669),0.5747309877886592
In-Month Active Accounts,Merchant 2,Good (670-739),0.6326629193746707
In-Month Active Accounts,Merchant 2,Poor (300-579),0.497376939390557
In-Month Active Accounts,Merchant 2,Very Good (740-799),0.6960338135442495
In-Month Active Accounts,Merchant 3,Exceptional (800-850),0.7277981817087121
In-Month Active Accounts,Merchant 3,Fair (580-669),0.5704171989001711
In-Month Active Accounts,Merchant 3,Good (670-739),0.6274109603020717
In-Month Active Accounts,Merchant 3,Poor (300-579),0.48865644552705734
In-Month Active Accounts,Merchant 3,Very Good (740-799),0.6910470349277151
In-Month Active Accounts,Merchant 4,Exceptional (800-850),0.738213183852605
In-Month Active Accounts,Merchant 4,Fair (580-669),0.5788564148491997
In-Month Active Accounts,Merchant 4,Good (670-739),0.6330280774926709
In-Month Active Accounts,Merchant 4,Poor (300-579),0.49322328145463407
In-Month Active Accounts,Merchant 4,Very Good (740-799),0.6954443388298825
In-Month Active Accounts,Merchant 5,Exceptional (800-850),0.7318332979551404
In-Month Active Accounts,Merchant 5,Fair (580-669),0.5784448772146488
In-Month Active Accounts,Merchant 5,Good (670-739),0.6361069087241553
In-Month Active Accounts,Merchant 5,Poor (300-579),0.4908649223138823
In-Month Active Accounts,Merchant 5,Very Good (740-799),0.6963984794450758
In-Month Active Accounts,Merchant 6,Exceptional (800-850),0.7446524489082414
In-Month Active Accounts,Merchant 6,Fair (580-669),0.5823710138785888
In-Month Active Accounts,Merchant 6,Good (670-739),0.6399754601226993
In-Month Active Accounts,Merchant 6,Poor (300-579),0.5025951557093425
In-Month Active Accounts,Merchant 6,Very Good (740-799),0.6977208753291565
In-Month Active Accounts,Merchant 7,Exceptional (800-850),0.7246152142619865
In-Month Active Accounts,Merchant 7,Fair (580-669),0.5619668062664805
In-Month Active Accounts,Merchant 7,Good (670-739),0.6266116120333699
In-Month Active Accounts,Merchant 7,Poor (300-579),0.48934515476745993
In-Month Active Accounts,Merchant 7,Very Good (740-799),0.6851379379967328
In-Month Active Accounts,Merchant 8,Exceptional (800-850),0.7327204071581022
In-Month Active Accounts,Merchant 8,Fair (580-669),0.5685523999081374
In-Month Active Accounts,Merchant 8,Good (670-739),0.6288163534454335
In-Month Active Accounts,Merchant 8,Poor (300-579),0.4945288257390168
In-Month Active Accounts,Merchant 8,Very Good (740-799),0.6901436752737868
In-Month Active Accounts,Merchant 9,ALL,0.6077577446796156
Net Transaction Volume,Merchant 1,Exceptional (800-850),1511.105203902927
Net Transaction Volume,Merchant 1,Fair (580-669),627.4932074932075
Net Transaction Volume,Merchant 1,Good (670-739),885.4919030580251
Net Transaction Volume,Merchant 1,Poor (300-579),388.5071789156232
Net Transaction Volume,Merchant 1,Very Good (740-799),1166.1011540711588
Net Transaction Volume,Merchant 10,ALL,570.8486801718846
Net Transaction Volume,Merchant 2,Exceptional (800-850),1876.9890089091375
Net Transaction Volume,Merchant 2,Fair (580-669),691.2489420868093
Net Transaction Volume,Merchant 2,Good (670-739),1011.3194566426606
Net Transaction Volume,Merchant 2,Poor (300-579),420.72217881459983
Net Transaction Volume,Merchant 2,Very Good (740-799),1472.4208279715012
Net Transaction Volume,Merchant 3,Exceptional (800-850),1312.9357577217172
