Merchant,Acquisition Cost,Cost of Sales,Gross Revenue,Operating Expense,Gross Profit,Gross Margin %,Contribution Profit,Contribution Margin %,New Accounts,CAC,CAC / New Account
Merchant 4,-31381419.66618343,-169360777.766291,216566601.3199444,-4784975.094633017,47205823.55365342,0.21797370077352765,42420848.459020406,0.19587899611699597,368506.0328387355,-31381419.66618343,85.15849638726667
Merchant 1,-30322774.78166913,-272772423.1884708,315505006.4142077,-5431890.938683997,42732583.225736916,0.13544185466786496,37300692.28705292,0.11822535785084522,333167.4502596292,-30322774.78166913,91.01361720071796
Merchant 5,-15593452.2448741,-88310941.21912405,121053713.49970736,-2140692.8609364787,32742772.280583307,0.2704813535576706,30602079.41964683,0.25279752710536063,192605.82582935205,-15593452.2448741,80.9604391649598
Merchant 3,-19231000.37283453,-130368477.55432026,160738357.65117297,-2959720.200882658,30369880.096852705,0.18893984323741836,27410159.895970047,0.17052656439015212,222857.32958726547,-19231000.37283453,86.29287808684857
Merchant 6,-21960595.775078382,-137262146.32974297,165718927.5949474,-2638845.7861765847,28456781.26520443,0.17171714588184464,25817935.479027845,0.15579352252467152,245484.60529299953,-21960595.775078382,89.45813831733844
Merchant 2,-24340705.756277647,-223435290.3467707,244223244.14664334,-3913609.546017715,20787953.799872637,0.08511865392874134,16874344.253854923,0.06909393212270475,263147.8976223784,-24340705.756277647,92.49819579104889
Merchant 9,-7500765.656037615,-20159553.870431613,28199867.357848354,-772425.8471761759,8040313.4874167405,0.2851188406451503,7267887.640240565,0.2577277243191652,95543.9283910767,-7500765.656037615,78.50593734575966
Merchant 8,-9419616.735104213,-27906489.594202828,35027066.66216669,-988218.3354640028,7120577.067963865,0.20328784984027556,6132358.732499862,0.17507485829875452,113467.98781336332,-9419616.735104213,83.01563213228012
Merchant 10,-22246515.26781725,-44676121.92277819,50856852.61659453,-1334337.498735271,6180730.693816341,0.12153191508747783,4846393.19508107,0.09529479206307977,266646.35920258483,-22246515.26781725,83.43078575813382
Merchant 7,-26539899.68211377,-163849686.77252984,166367621.1757811,-2823142.040419391,2517934.4032512605,0.015134762314061433,-305207.6371681304,-0.001834537483983457,279431.2028640297,-26539899.68211377,94.97829666155071
