Merchant,Grain FICO,QSB,Line Item,Driver Basis,rate
Merchant 1,Exceptional (800-850),0,Interest Revenue,Revolve Balance,0.04725017776076136
Merchant 1,Exceptional (800-850),1,Interest Revenue,Revolve Balance,0.04724967897467836
Merchant 1,Exceptional (800-850),2,Interest Revenue,Revolve Balance,0.04724958974710951
Merchant 1,Exceptional (800-850),3,Interest Revenue,Revolve Balance,0.04724968574743763
Merchant 1,Exceptional (800-850),4,Interest Revenue,Revolve Balance,0.04724972985548416
Merchant 1,Exceptional (800-850),5,Interest Revenue,Revolve Balance,0.04725056942693613
Merchant 1,Exceptional (800-850),6,Interest Revenue,Revolve Balance,0.04724972567028422
Merchant 1,Exceptional (800-850),7,Interest Revenue,Revolve Balance,0.0472499838558345
Merchant 1,Exceptional (800-850),8,Interest Revenue,Revolve Balance,0.04725035830590339
Merchant 1,Exceptional (800-850),9,Interest Revenue,Revolve Balance,0.047250371571409266
Merchant 1,Exceptional (800-850),10,Interest Revenue,Revolve Balance,0.04725017902480307
Merchant 1,Exceptional (800-850),11,Interest Revenue,Revolve Balance,0.047250321354719724
Merchant 1,Exceptional (800-850),12,Interest Revenue,Revolve Balance,0.04724870048014957
Merchant 1,Exceptional (800-850),13,Interest Revenue,Revolve Balance,0.04725152692948362
Merchant 1,Fair (580-669),0,Interest Revenue,Revolve Balance,0.0697496539186417
Merchant 1,Fair (580-669),1,Interest Revenue,Revolve Balance,0.06974981918180727
Merchant 1,Fair (580-669),2,Interest Revenue,Revolve Balance,0.069749936179895
Merchant 1,Fair (580-669),3,Interest Revenue,Revolve Balance,0.06975002044426463
Merchant 1,Fair (580-669),4,Interest Revenue,Revolve Balance,0.06975011262499219
Merchant 1,Fair (580-669),5,Interest Revenue,Revolve Balance,0.06974989502122904
Merchant 1,Fair (580-669),6,Interest Revenue,Revolve Balance,0.06975003310742837
Merchant 1,Fair (580-669),7,Interest Revenue,Revolve Balance,0.06975008368336374
Merchant 1,Fair (580-669),8,Interest Revenue,Revolve Balance,0.06975020638931279
Merchant 1,Fair (580-669),9,Interest Revenue,Revolve Balance,0.0697498315331813
Merchant 1,Fair (580-669),10,Interest Revenue,Revolve Balance,0.06974993785274322
Merchant 1,Fair (580-669),11,Interest Revenue,Revolve Balance,0.06974992668426244
Merchant 1,Fair (580-669),12,Interest Revenue,Revolve Balance,0.06974979856220503
Merchant 1,Fair (580-669),13,Interest Revenue,Revolve Balance,0.06975041996640269
Merchant 1,Good (670-739),0,Interest Revenue,Revolve Balance,0.06225005113873341
Merchant 1,Good (670-739),1,Interest Revenue,Revolve Balance,0.06224978056575399
Merchant 1,Good (670-739),2,Interest Revenue,Revolve Balance,0.06225050745696457
Merchant 1,Good (670-739),3,Interest Revenue,Revolve Balance,0.062249869743331944
Merchant 1,Good (670-739),4,Interest Revenue,Revolve Balance,0.062250099423918834
Merchant 1,Good (670-739),5,Interest Revenue,Revolve Balance,0.06225009066144906
Merchant 1,Good (670-739),6,Interest Revenue,Revolve Balance,0.06225020907804522
Merchant 1,Good (670-739),7,Interest Revenue,Revolve Balance,0.062250146746922405
Merchant 1,Good (670-739),8,Interest Revenue,Revolve Balance,0.06225019327406262
Merchant 1,Good (670-739),9,Interest Revenue,Revolve Balance,0.06224984175969058
Merchant 1,Good (670-739),10,Interest Revenue,Revolve Balance,0.06225019215987702
Merchant 1,Good (670-739),11,Interest Revenue,Revolve Balance,0.06224969858656337
Merchant 1,Good (670-739),12,Interest Revenue,Revolve Balance,0.06225019669551534
Merchant 1,Good (670-739),13,Interest Revenue,Revolve Balance,0.06225034419025706
Merchant 1,Poor (300-579),0,Interest Revenue,Revolve Balance,0.0747497434820195
Merchant 1,Poor (300-579),1,Interest Revenue,Revolve Balance,0.07474903673921728
Merchant 1,Poor (300-579),2,Interest Revenue,Revolve Balance,0.07475042166203218
Merchant 1,Poor (300-579),3,Interest Revenue,Revolve Balance,0.07474968797670226
Merchant 1,Poor (300-579),4,Interest Revenue,Revolve Balance,0.07474971883189194
Merchant 1,Poor (300-579),5,Interest Revenue,Revolve Balance,0.07475043772881279
Merchant 1,Poor (300-579),6,Interest Revenue,Revolve Balance,0.07475028403711419
Merchant 1,Poor (300-579),7,Interest Revenue,Revolve Balance,0.07475034083752603
Merchant 1,Poor (300-579),8,Interest Revenue,Revolve Balance,0.07474907853700029
Merchant 1,Poor (300-579),9,Interest Revenue,Revolve Balance,0.07475102804466878
Merchant 1,Poor (300-579),10,Interest Revenue,Revolve Balance,0.07475012038853196
Merchant 1,Poor (300-579),11,Interest Revenue,Revolve Balance,0.07475005135930973
Merchant 1,Poor (300-579),12,Interest Revenue,Revolve Balance,0.07475012026297503
Merchant 1,Poor (300-579),13,Interest Revenue,Revolve Balance,0.07474698207535667
Merchant 1,Very Good (740-799),0,Interest Revenue,Revolve Balance,0.054750057112547164
Merchant 1,Very Good (740-799),1,Interest Revenue,Revolve Balance,0.0547499078529233
Merchant 1,Very Good (740-799),2,Interest Revenue,Revolve Balance,0.05475001695223752
Merchant 1,Very Good (740-799),3,Interest Revenue,Revolve Balance,0.05474984233032317
Merchant 1,Very Good (740-799),4,Interest Revenue,Revolve Balance,0.05474999206099975
Merchant 1,Very Good (740-799),5,Interest Revenue,Revolve Balance,0.05475014838294164
Merchant 1,Very Good (740-799),6,Interest Revenue,Revolve Balance,0.05474978123774177
Merchant 1,Very Good (740-799),7,Interest Revenue,Revolve Balance,0.05474972320440016
Merchant 1,Very Good (740-799),8,Interest Revenue,Revolve Balance,0.05474992963839346
Merchant 1,Very Good (740-799),9,Interest Revenue,Revolve Balance,0.05475021403031676
Merchant 1,Very Good (740-799),10,Interest Revenue,Revolve Balance,0.054750360372166164
Merchant 1,Very Good (740-799),11,Interest Revenue,Revolve Balance,0.05474973216317785
Merchant 1,Very Good (740-799),12,Interest Revenue,Revolve Balance,0.05475039713387637
Merchant 1,Very Good (740-799),13,Interest Revenue,Revolve Balance,0.05474985833400793
Merchant 10,ALL,0,Interest Revenue,Revolve Balance,0.06363748268964456
Merchant 10,ALL,1,Interest Revenue,Revolve Balance,0.06397223466188984
Merchant 2,Exceptional (800-850),0,Interest Revenue,Revolve Balance,0.04724941988793933
Merchant 2,Exceptional (800-850),1,Interest Revenue,Revolve Balance,0.04725055064775122
Merchant 2,Exceptional (800-850),2,Interest Revenue,Revolve Balance,0.04724978844526502
Merchant 2,Exceptional (800-850),3,Interest Revenue,Revolve Balance,0.04725035666149081
Merchant 2,Exceptional (800-850),4,Interest Revenue,Revolve Balance,0.04725002067653627
Merchant 2,Exceptional (800-850),5,Interest Revenue,Revolve Balance,0.04725019640044373
Merchant 2,Exceptional (800-850),6,Interest Revenue,Revolve Balance,0.04725001156429115
Merchant 2,Exceptional (800-850),7,Interest Revenue,Revolve Balance,0.04724992028362815
Merchant 2,Exceptional (800-850),8,Interest Revenue,Revolve Balance,0.04724996975033947
Merchant 2,Exceptional (800-850),9,Interest Revenue,Revolve Balance,0.04725076790546714
Merchant 2,Exceptional (800-850),10,Interest Revenue,Revolve Balance,0.047250901243347965
Merchant 2,Exceptional (800-850),11,Interest Revenue,Revolve Balance,0.04725143695731931
Merchant 2,Fair (580-669),0,Interest Revenue,Revolve Balance,0.06975098611905695
Merchant 2,Fair (580-669),1,Interest Revenue,Revolve Balance,0.06974985094284214
Merchant 2,Fair (580-669),2,Interest Revenue,Revolve Balance,0.06974959690735669
Merchant 2,Fair (580-669),3,Interest Revenue,Revolve Balance,0.06975050144692319
Merchant 2,Fair (580-669),4,Interest Revenue,Revolve Balance,0.0697500096745482
Merchant 2,Fair (580-669),5,Interest Revenue,Revolve Balance,0.069749949989998
Merchant 2,Fair (580-669),6,Interest Revenue,Revolve Balance,0.06974976743392136
Merchant 2,Fair (580-669),7,Interest Revenue,Revolve Balance,0.06974956594938707
