Merchant,Vintage Index,FICO Bucket,New Accounts,growth_rate_applied
Merchant 1,14,Exceptional (800-850),7799.69829277093,0.04802503723143703
Merchant 1,14,Very Good (740-799),10477.980510539717,0.04802503723143703
Merchant 1,14,Good (670-739),8752.337196588182,0.04802503723143703
Merchant 1,14,Fair (580-669),5661.10512963858,0.04802503723143703
Merchant 1,14,Poor (300-579),2446.0142937209844,0.04802503723143703
Merchant 1,15,Exceptional (800-850),8174.27909367523,0.04802503723143703
Merchant 1,15,Very Good (740-799),10981.185914668658,0.04802503723143703
Merchant 1,15,Good (670-739),9172.66851631642,0.04802503723143703
Merchant 1,15,Fair (580-669),5932.9799142605525,0.04802503723143703
Merchant 1,15,Poor (300-579),2563.4842212455624,0.04802503723143703
Merchant 1,16,Exceptional (800-850),8566.849151489141,0.04802503723143703
Merchant 1,16,Very Good (740-799),11508.557777065953,0.04802503723143703
Merchant 1,16,Good (670-739),9613.186263324147,0.04802503723143703
Merchant 1,16,Fair (580-669),6217.911495536283,0.04802503723143703
Merchant 1,16,Poor (300-579),2686.595646413082,0.04802503723143703
Merchant 1,17,Exceptional (800-850),8978.27240094551,0.04802503723143703
Merchant 1,17,Very Good (740-799),12061.256692789688,0.04802503723143703
Merchant 1,17,Good (670-739),10074.859891533028,0.04802503723143703
Merchant 1,17,Fair (580-669),6516.526926611193,0.04802503723143703
Merchant 1,17,Poor (300-579),2815.619502357886,0.04802503723143703
Merchant 1,18,Exceptional (800-850),9409.454267274901,0.04802503723143703
Merchant 1,18,Very Good (740-799),12640.498994518832,0.04802503723143703
Merchant 1,18,Good (670-739),10558.705412925412,0.04802503723143703
Merchant 1,18,Fair (580-669),6829.483374881357,0.04802503723143703
Merchant 1,18,Poor (300-579),2950.839733788184,0.04802503723143703
Merchant 1,19,Exceptional (800-850),9861.343658788282,0.04802503723143703
Merchant 1,19,Very Good (740-799),13247.559429354542,0.04802503723143703
Merchant 1,19,Good (670-739),11065.78763349693,0.04802503723143703
Merchant 1,19,Fair (580-669),7157.469568231515,0.04802503723143703
Merchant 1,19,Poor (300-579),3092.5539218673653,0.04802503723143703
Merchant 1,20,Exceptional (800-850),10334.935055153584,0.04802503723143703
Merchant 1,20,Very Good (740-799),13883.773964174967,0.04802503723143703
Merchant 1,20,Good (670-739),11597.222496590795,0.04802503723143703
Merchant 1,20,Fair (580-669),7501.207310728711,0.04802503723143703
Merchant 1,20,Poor (300-579),3241.0739391052716,0.04802503723143703
Merchant 1,21,Exceptional (800-850),10831.27069596182,0.04802503723143703
Merchant 1,21,Very Good (740-799),14550.542725717327,0.04802503723143703
Merchant 1,21,Good (670-739),12154.179538770828,0.04802503723143703
Merchant 1,21,Fair (580-669),7861.453071107185,0.04802503723143703
Merchant 1,21,Poor (300-579),3396.726635700643,0.04802503723143703
Merchant 10,14,Exceptional (800-850),2029.7540870092666,0.18896447467876043
Merchant 10,14,Very Good (740-799),3678.485294179059,0.18896447467876043
Merchant 10,14,Good (670-739),5048.876058618659,0.18896447467876043
Merchant 10,14,Fair (580-669),4017.5310770870656,0.18896447467876043
