Merchant,Acquisition Cost,Cost of Sales,Gross Revenue,Operating Expense,Gross Profit,Gross Margin %,Contribution Profit,Contribution Margin %,New Accounts,CAC,CAC / New Account
Merchant 4,-31381419.66618343,-168341025.97733888,216566601.3199444,-4784975.094633017,48225575.34260553,0.22268242216794792,43440600.24797252,0.20058771751141627,368506.0328387355,-31381419.66618343,85.15849638726667
Merchant 1,-30322774.78166913,-274592306.35282576,315505006.4142077,-5431890.938683997,40912700.061381936,0.12967369528098738,35480809.12269794,0.11245719846396765,333167.4502596292,-30322774.78166913,91.01361720071796
Merchant 5,-15593452.2448741,-85400851.08390033,121053713.49970736,-2140692.8609364787,35652862.41580702,0.2945210137307619,33512169.554870546,0.2768371872784519,192605.82582935205,-15593452.2448741,80.9604391649598
Merchant 3,-19231000.37283453,-129599724.79080507,160738357.65117297,-2959720.200882658,31138632.860367894,0.19372247741851095,28178912.659485236,0.17530919857124472,222857.32958726547,-19231000.37283453,86.29287808684857
Merchant 6,-21960595.775078382,-137959784.6487014,165718927.5949474,-2638845.7861765847,27759142.946246,0.16750737739563037,25120297.160069413,0.15158375403845725,245484.60529299953,-21960595.775078382,89.45813831733844
Merchant 2,-24340705.756277647,-229454066.73654962,244223244.14664334,-3913609.546017715,14769177.410093725,0.06047408575584068,10855567.86407601,0.04444936394980409,263147.8976223784,-24340705.756277647,92.49819579104889
Merchant 9,-7500765.656037615,-19719524.02605421,28199867.357848354,-772425.8471761759,8480343.331794143,0.30072280923101447,7707917.484617967,0.27333169290502934,95543.9283910767,-7500765.656037615,78.50593734575966
Merchant 8,-9419616.735104213,-28140609.327543993,35027066.66216669,-988218.3354640028,6886457.3346227,0.1966038835350399,5898238.999158697,0.16839089199351887,113467.98781336332,-9419616.735104213,83.01563213228012
Merchant 10,-22246515.26781725,-48068986.34110011,50856852.61659453,-1334337.498735271,2787866.275494419,0.05481790814921059,1453528.776759148,0.02858078512481253,266646.35920258483,-22246515.26781725,83.43078575813382
Merchant 7,-26539899.68211377,-174281162.69163162,166367621.1757811,-2823142.040419391,-7913541.515850514,-0.04756659655239769,-10736683.556269905,-0.06453589635044257,279431.2028640297,-26539899.68211377,94.97829666155071
